x [px],y [px],u [px/frame],v [px/frame],magnitude
20,20,-2.906745738,0.1172212071,2.909108385
20,36,-3.124989919,-0.4026515159,3.150823739
20,52,-3.61358318,-2.041029884,4.150154983
20,68,-2.000387308,-4.112633166,4.573324933
20,84,-3.527300674,-6.422666948,7.327516685
20,100,-1.100282688,-1.401243059,1.781601556
20,116,0.5368147934,1.759125135,1.83920944
20,132,1.789377618,4.521647694,4.862835606
20,148,0.643079966,3.454968028,3.514307317
20,164,0.3266888519,4.954954873,4.965712779
20,180,-0.6732260266,3.461727737,3.526583645
20,196,-0.4972089136,-1.159567481,1.261670895
20,212,0.9986839551,-0.8232119909,1.294236309
20,228,2.26277143,-0.8838792202,2.429274999
20,244,3.315237645,-1.382919131,3.59211163
20,260,4.096616571,-0.7395355496,4.162833189
20,276,4.737686333,-0.04674974448,4.737916982
20,292,-2.589347475,-1.55048188,3.018064679
20,308,-2.511243888,-1.381979647,2.866393834
20,324,-2.053433215,-0.6105729699,2.142285537
20,340,-1.706288784,-1.58811752,2.330995211
20,356,-2.066267097,-3.184959542,3.796501943
20,372,-1.568936212,2.816042281,3.223608997
20,388,-0.5857324608,2.364333952,2.435807372
20,404,-1.608308392,-2.485689209,2.96062607
20,420,-1.082744199,-3.732008845,3.885900799
20,436,-3.469872602,-3.055014909,4.623108475
20,452,-0.1098718191,-0.6001264649,0.610101295
20,468,0.3743325848,0.8489573815,0.927821922
20,484,-0.5310945501,0.4777941634,0.714386929
20,500,-1.122465424,-0.131895427,1.130188051
36,20,-2.688501558,0.6370939302,2.762956623
36,36,-2.854640839,0.7158541295,2.943029299
36,52,-3.634134985,-0.2376942409,3.641900004
36,68,-3.030241625,-4.123846722,5.117467742
36,84,-2.422176449,-3.252633673,4.055436421
36,100,-0.3103621836,0.4598126369,0.554754311
36,116,0.9213494498,2.15697077,2.345507986
36,132,-0.173626363,2.356659255,2.363046542
36,148,-1.182875241,1.786558643,2.14265854
36,164,-0.8007065646,1.039556069,1.31217675
36,180,-0.5080859899,0.6796170989,0.848546271
36,196,0.1607611774,-0.0920145703,0.185231847
36,212,1.230489349,-0.4261892715,1.302206333
36,228,2.474392691,-0.4455065387,2.514178845
36,244,3.670241023,0.08836393719,3.671304585
36,260,3.7362351,0.863311397,3.834678512
36,276,1.520163614,0.8096774696,1.722345789
36,292,-1.366541599,0.423888772,1.430775186
36,308,-3.501223789,0.3211143846,3.515918439
36,324,-3.073031347,-0.4740051385,3.109373334
36,340,-0.9991660406,-0.9688200493,1.391741738
36,356,0.3538177612,0.2682219726,0.443993282
36,372,0.8048104832,2.188304696,2.33160832
36,388,1.951859988,2.026520139,2.813634889
36,404,-1.456272862,-1.612907374,2.17306255
36,420,-0.9671570222,-2.153443442,2.360659095
36,436,-1.613382981,-2.580746516,3.043559959
36,452,2.76592456,0.4056781326,2.795516664
36,468,1.763964123,2.669204446,3.199409602
