x [px],y [px],u [px/frame],v [px/frame],magnitude
20,20,-2.489310384,2.531309929,3.550238886
20,36,-1.591010387,0.3214935378,1.623167319
20,52,-1.087816946,-1.304468762,1.6985242
20,68,-0.410733994,-1.495792256,1.551159852
20,84,0.3463990806,-1.615988442,1.652698087
20,100,0.8555793949,-0.3288136692,0.916588528
20,116,1.255594194,-0.2638291582,1.283013096
20,132,0.9091571521,-0.4747064086,1.025628052
20,148,0.7472234649,-1.260657287,1.465469106
20,164,0.5336931774,-1.052161043,1.17977594
20,180,0.8587660892,-1.235905625,1.504972395
20,196,0.4062014068,0.3527981789,0.538020574
20,212,0.284854827,-0.02147596165,0.285663245
20,228,0.8186155639,0.318788777,0.878497425
20,244,-0.8927917827,1.228920079,1.518987073
20,260,-0.972277435,0.4940958261,1.090620968
20,276,-1.315463665,0.6969888011,1.488703477
20,292,-2.516751024,3.046615485,3.951696045
20,308,-1.544919788,2.527400878,2.962183713
20,324,-0.5100495515,1.497973104,1.582426607
20,340,-0.2395527702,1.078292609,1.104581586
20,356,0.1864993641,1.619744954,1.630446481
20,372,0.4271331208,1.795342342,1.845453014
20,388,0.590566501,1.435577457,1.552305198
20,404,0.7788994101,1.180767924,1.414530728
20,420,0.08032306575,1.81975553,1.821527377
20,436,-0.3164721456,2.301963204,2.323615547
20,452,0.1202499332,1.034268804,1.041235807
20,468,-0.2679878823,-1.165650119,1.19605924
20,484,-0.5602229962,-0.9481591975,1.101297267
20,500,-0.03466509124,0.4256232348,0.427032559
36,20,-1.099504,1.054223824,1.523252086
36,36,-1.104600296,-0.627858744,1.270570115
36,52,-0.9487795201,-1.171461278,1.507482704
36,68,-0.5695480492,-1.091993191,1.231598193
36,84,-0.04959667407,-1.043612431,1.044790283
36,100,0.5014907129,-0.7241895882,0.880876549
36,116,1.153025692,-0.6156449396,1.307091021
36,132,0.8308914129,-0.2931012162,0.881072564
36,148,0.7346539067,-0.3640944783,0.819927528
36,164,0.5323450476,0.2329725441,0.581091607
36,180,-0.2238997303,0.7131772492,0.747497744
36,196,-1.292499207,0.8982228835,1.57396269
36,212,-1.207556078,0.5024798777,1.307928786
36,228,-0.4261887517,1.26586497,1.33568371
36,244,-0.7815629091,1.158930414,1.397841295
36,260,-0.729718396,0.4742086413,0.870265921
36,276,-0.7508074426,0.6131325633,0.969352029
36,292,-0.7963180943,0.6940934498,1.056356107
36,308,-1.047447994,0.7679203226,1.298787481
36,324,-0.07428240941,-0.4480727177,0.454188327
36,340,-0.1759581816,-0.1231741667,0.214786305
36,356,-0.02911877185,-0.1800046021,0.182344618
36,372,-0.1430263878,0.1797112447,0.229679514
36,388,0.2222909732,-0.07506731809,0.23462391
36,404,0.1697469041,-0.4409113526,0.472458286
36,420,0.08114571569,0.4816074132,0.488395667
36,436,0.06817223353,1.73552475,1.736863153
36,452,-0.03343809215,1.047090739,1.047624514
36,468,-0.04631953899,-0.2006071284,0.20588521
36,484,-0.01002784561,-0.743717195,0.743784797
36,500,0.2297316047,-0.05619178324,0.236503968
52,20,-0.1813628022,-0.2114466757,0.278571647
52,36,-0.6883551321,-0.7280376867,1.00193396
