x [px],y [px],u [px/frame],v [px/frame],magnitude
20,20,1.429996017,1.637479078,2.173988579
20,36,1.590836599,1.817078546,2.41506429
20,52,1.839419492,2.18735553,2.857969258
20,68,1.833922588,2.532752063,3.126996174
20,84,1.208761066,2.59050935,2.858643386
20,100,-1.3386873,0.9422170161,1.637026754
20,116,-5.777369324,-2.810376921,6.42465678
20,132,-4.573372939,-2.782902647,5.353530348
20,148,-4.776720881,-1.612182868,5.041447805
20,164,-6.109706203,-1.673870753,6.334852262
20,180,-3.791568757,-1.070061633,3.939673278
20,196,-2.16986098,-0.802700508,2.313574027
20,212,-1.739731602,-0.5775019,1.833077874
20,228,-0.7353634674,-0.5955170058,0.946255744
20,244,3.412482942,-1.847920229,3.880702127
20,260,-1.014346712,-4.189499662,4.310545983
20,276,0.06427247678,-3.315183787,3.315806763
20,292,-0.07788409939,-3.135402951,3.136370131
20,308,1.216196414,-4.591360777,4.749708149
20,324,2.846183733,-5.519404152,6.210038972
20,340,0.8713254314,-2.011017552,2.191665942
20,356,3.716092529,-0.6977771084,3.781036442
20,372,5.425072537,-0.1367110024,5.426794812
20,388,2.522874474,-2.826626464,3.788761378
20,404,0.9241701758,-4.042508047,4.146801397
20,420,-2.395456024,-2.958119482,3.806399931
20,436,-5.45637384,-1.636321241,5.696451763
20,452,-3.539881631,-0.4408213885,3.567223775
20,468,-2.245517777,-4.304987255,4.85543668
20,484,0.3180753838,-2.411788648,2.432672693
20,500,3.481326749,-0.8451059607,3.582434929
36,20,1.269155436,1.45787961,1.93291709
36,36,1.503094287,1.626401029,2.214604421
36,52,2.093499288,2.212235981,3.045772038
36,68,2.453587207,2.82039131,3.738274645
36,84,3.13104791,4.296558971,5.316378467
36,100,0.5525463583,3.04651862,3.09622079
36,116,-2.006827478,1.142465486,2.309238817
36,132,-3.292870025,-0.414528468,3.31885927
36,148,-3.647083501,-0.3797752048,3.666803413
36,164,-4.89231625,-0.6390520886,4.933877366
36,180,-3.095139087,-0.7336136392,3.180892161
36,196,-0.9782825814,-0.7605379905,1.239134716
36,212,-2.313970359,-0.3342881863,2.337992176
36,228,1.678389658,-0.9965268739,1.951936898
36,244,2.119688693,-2.811056501,3.520670221
36,260,1.174807218,-3.605570238,3.792137753
36,276,0.1018168789,-2.907216857,2.908999232
36,292,0.8113016124,-4.703133694,4.772596447
36,308,1.721060583,-4.92377953,5.215903986
36,324,1.321302548,-1.984710278,2.384306044
36,340,2.582500099,-1.535307608,3.004409462
36,356,4.851879617,0.05439722934,4.852184547
36,372,2.926160565,-2.039148676,3.566587021
36,388,1.219380708,-4.300660343,4.470186651
36,404,-0.9685669979,-2.738533444,2.904769776
36,420,-2.654164408,-3.195529158,4.154033619
36,436,-3.971211227,-1.697625241,4.318848234
36,452,-4.126662834,-1.969553309,4.572579839
36,468,-3.040408638,-2.170528564,3.735676503
36,484,-0.1183728775,-0.8527270576,0.860903928
36,500,1.993587249,1.163752904,2.308400083
52,20,0.8743760035,1.109758723,1.412833259
52,36,1.058885826,1.018409981,1.469148761
52,52,2.577896166,2.214796054,3.398657118
52,68,2.755879042,2.240018226,3.551415344
52,84,3.835603247,2.131215035,4.387930012
52,100,2.424652302,5.804833006,6.290868383
52,116,0.490383078,4.748248712,4.7735041
52,132,-1.978252694,2.093443902,2.880276218
52,148,-4.257980112,0.05313333488,4.258311612
52,164,-4.683365606,0.2712541369,4.691214364
52,180,-2.71838876,-0.4648028444,2.757839577
52,196,-0.1654170842,-0.06327364781,0.177105523
52,212,2.699900294,0.1143172043,2.702319378
52,228,3.72223216,-0.1496864217,3.725240701
52,244,2.506991631,-1.101126497,2.738153867
52,260,1.07133807,-1.865236289,2.151016428
52,276,-0.7989784763,-3.344833961,3.438936003
52,292,-1.286963827,-3.806231206,4.01791885
52,308,-0.3052401735,-2.674885532,2.692245192
52,324,0.1810828126,-1.3252434,1.33755787
52,340,2.302532258,-0.1658103655,2.308494721
52,356,3.792031406,0.2184192518,3.798316621
52,372,3.821713261,-0.1937966037,3.826623756
52,388,2.335939697,0.7685807317,2.459132085
52,404,-1.222402495,-0.5633989525,1.345988945
52,420,-1.854404642,-0.8058054318,2.021914679
52,436,-3.269232017,-1.252204488,3.500841907
52,452,-4.270123781,-1.256586576,4.451175904
52,468,-3.068320695,-0.9985110259,3.226703605
52,484,-1.82225742,-0.1310109562,1.826960858
52,500,0.4649392005,1.255242098,1.338581781
68,20,0.2950867483,0.852986578,0.902586445
68,36,-0.7198231518,-0.8773158826,1.134825329
68,52,1.08012661,0.3453053939,1.133979413
68,68,2.156429549,1.793670505,2.804896126
68,84,2.751384348,2.593011386,3.780717376
68,100,2.452096077,3.505023764,4.277612273
68,116,0.8096259626,4.491293282,4.563683769
68,132,-0.8525437172,3.986922029,4.077055071
68,148,-4.194699254,1.420256828,4.428615053
68,164,-4.780234455,0.7751257792,4.842670897
68,180,-3.776151976,0.2806043628,3.786563423
68,196,-0.1789849054,-0.8878231465,0.90568512
68,212,3.07013519,-0.08136591245,3.071213196
68,228,3.291670711,-0.8975565559,3.41184757
68,244,1.611849625,-1.062954467,1.93078518
68,260,-1.058144723,-2.089049983,2.3417515
68,276,-2.345630154,-3.121913228,3.904910117
68,292,-2.543151893,-2.867219255,3.832566739
68,308,-1.271435474,-2.051210296,2.413298954
68,324,-0.6016342391,-1.703866091,1.80696525
68,340,1.364680954,1.589390556,2.094878623
68,356,3.273258452,1.920863819,3.795252127
68,372,2.747956947,0.29490959,2.763736429
68,388,2.710984438,2.237818769,3.515290808
68,404,-1.56447475,1.985964814,2.528168801
68,420,-3.057346921,2.006244831,3.656827658
68,436,-2.75335587,0.3457663233,2.774981603
68,452,-3.474866993,0.3091284737,3.488590121
68,468,-2.494225501,1.011095562,2.691370485
68,484,-1.364901128,1.364697335,1.930117588
68,500,0.2297431868,1.814239399,1.828728118
84,20,0.7307073934,2.326516894,2.438568054
84,36,-0.7133839893,-0.5304024969,0.888956425
84,52,-0.3752774057,-1.460237091,1.507688792
84,68,0.2521869653,-0.619020854,0.66841984
84,84,0.7098917672,0.6630370025,0.971372425
84,100,1.143384842,2.417840578,2.674562012
84,116,0.8218127503,4.249548347,4.328283418
84,132,-0.7653846672,4.261604926,4.329791015
84,148,-2.970700829,3.04100918,4.251211621
84,164,-3.189808261,2.33091253,3.950699933
84,180,-2.851869516,1.182554821,3.087328237
84,196,-1.205349482,0.4946763393,1.302909074
84,212,0.3044479855,0.103300992,0.321495989
84,228,6.231906145,-0.8054365933,6.283739516
84,244,3.304742644,-1.259662152,3.536675371
84,260,-0.5978543086,-2.264776707,2.342358492
84,276,-2.611224304,-2.091785556,3.345752408
84,292,-3.127500195,-1.887575389,3.652971163
84,308,-2.575955491,-1.633465218,3.050205782
84,324,-0.8970250152,-0.8647384017,1.245964037
84,340,0.1037387823,0.7699890438,0.776945856
84,356,2.264361836,2.329800773,3.248893068
84,372,2.934210756,2.828214572,4.075339302
84,388,0.6513589547,3.437565618,3.498732037
84,404,-2.126830498,4.281476998,4.780633143
84,420,-2.313290456,2.984497804,3.776048182
84,436,-1.211977548,0.3198964764,1.253484476
84,452,-1.747028636,1.600352013,2.369226798
84,468,-1.398644603,1.49953071,2.050560674
84,484,-0.7797358741,0.8614685142,1.161944936
84,500,0.6389855104,1.388787646,1.528735951
100,20,2.5714396,3.07028507,4.004866044
100,36,1.093214343,-2.582628242,2.804476107
100,52,-0.9326495999,-1.694828578,1.93449714
100,68,-1.368413378,-1.140981227,1.781682725
100,84,-0.9063401099,-0.3065865719,0.956790322
100,100,-0.0880926557,1.846342605,1.848442948
100,116,-0.05408621467,3.379830336,3.380263069
100,132,-1.56566579,4.132912188,4.419533066
100,148,-2.396901116,3.267556623,4.052414249
100,164,-2.897502026,2.707121962,3.965353365
100,180,-0.6358110739,0.2758139491,0.693057758
100,196,-0.3632046376,0.3796729316,0.525422824
100,212,0.0970814281,0.270398521,0.28729804
100,228,6.302327051,0.2375103705,6.306800887
100,244,5.973069114,-0.9054808423,6.04131196
100,260,2.177393067,-1.271551513,2.521484447
100,276,-4.01933626,-1.690606342,4.360414404
100,292,-4.773195161,-1.467853395,4.993794713
100,308,-2.988303588,-1.635496267,3.4065828
100,324,-0.2552887147,-0.4433699646,0.51161436
100,340,0.7303864566,0.5377372331,0.90698716
100,356,4.025185184,0.8935962252,4.123182021
100,372,2.246860474,3.915138681,4.514055037
100,388,1.286557483,2.25969688,2.600280782
100,404,1.119637022,2.329632665,2.584719601
100,420,-0.7898500675,1.672312977,1.84945771
100,436,-0.8074160756,0.3982025539,0.900269956
100,452,-0.9278491244,1.201905306,1.518380836
100,468,-0.5735884012,2.525206751,2.589531384
100,484,0.4622560695,0.9013763847,1.012995588
100,500,1.139488071,1.514271453,1.895112423
116,20,3.445034356,2.472678335,4.240565984
116,36,1.26000379,0.4969303176,1.354455349
116,52,-0.6902605065,0.1317452705,0.702720701
116,68,-2.156002809,-0.4116728162,2.194953899
116,84,-2.273269596,0.1335780699,2.27719076
