x [px],y [px],u [px/frame],v [px/frame],magnitude
20,20,2.432821378,1.185968721,2.706499892
20,36,-0.4086900599,0.8514445513,0.944449781
20,52,-1.087459499,-1.154970078,1.586355585
20,68,-0.8466557701,-1.097842506,1.386392499
20,84,0.0756387211,-1.322467857,1.324629174
20,100,0.8878118472,-0.4622323451,1.000933872
20,116,1.122529372,-0.3490803828,1.175554892
20,132,0.4356652449,-0.5275975956,0.684224692
20,148,0.1193491816,-0.8214432301,0.830068194
20,164,-0.2067666208,-1.090828312,1.110251702
20,180,0.8913204904,-1.372581649,1.636591763
20,196,0.3247575721,0.4930459981,0.590391257
20,212,0.1831444468,-0.1245550583,0.221485555
20,228,0.3478783332,0.738547462,0.816377173
20,244,-0.03361422539,1.361445211,1.361860117
20,260,-0.06233714125,0.9266213931,0.928715847
20,276,-0.5443980101,0.8339603934,0.995921247
20,292,-0.9708032336,0.9297611715,1.344215293
20,308,-1.450649383,0.670767771,1.598221835
20,324,-0.2859422705,1.059295856,1.097210414
20,340,0.7100764332,1.33914561,1.515757073
20,356,1.000559437,1.116065687,1.49890687
20,372,0.3986111328,1.195593752,1.260291734
20,388,1.188314761,0.6461559171,1.352630563
20,404,0.6452004422,1.727993476,1.844517569
20,420,0.05662696357,1.791640395,1.792535053
20,436,-0.5305561228,2.279860676,2.340780746
20,452,-0.7693287122,0.5764438359,0.961329373
20,468,-0.5451182141,-0.4121370724,0.683381909
20,484,-0.3707895654,-1.009381276,1.075330397
20,500,0.2459554768,0.3026005364,0.389950229
36,20,1.846611654,0.2996115932,1.870759661
36,36,-0.03938030571,-0.7600597287,0.761079234
36,52,-0.8115956813,-1.411878566,1.628523452
36,68,-0.5959897246,-1.124801689,1.272942493
36,84,-0.17646737,-1.140411182,1.153983707
36,100,0.4804655145,-0.9844728555,1.095460594
36,116,1.074496447,-0.9171794225,1.412713951
36,132,0.619605216,-0.4649834007,0.774674245
36,148,0.06372385155,-0.2601441251,0.267835201
36,164,-0.01842650441,-0.07131763364,0.073659629
36,180,-0.2744067295,0.2305438416,0.358398544
36,196,-0.7951434523,0.4754363583,0.926440954
36,212,-0.9579135135,0.2782520812,0.997508155
36,228,-0.5068271584,0.8965545951,1.029895097
36,244,-0.03916200499,0.9050543825,0.905901263
36,260,0.1834632075,0.731517168,0.754172471
36,276,-0.1535098929,0.4132003867,0.440794563
36,292,-0.5350203312,0.05783701359,0.538137413
36,308,-0.8147558862,-0.2529368809,0.853114424
36,324,-0.1257883807,-0.2085621958,0.243558835
